New Era Roofs & Solar,8, $0.10 ,10-01-2023,,3
Green Horizon Solar,175, $0.15 ,01-02-2024,,
New Era Roofs & Solar,22, $0.02 ,10-01-2023,,
Next Level Energy,238, $0.20 ,02-07-2024,03-31-24,
Next Level Energy,238, $0.30 ,04-01-2024,,
Custom Construction,35, $0.20 ,04-01-2023,03-27-24,
Alpha PWR,152, $0.05 ,01-01-2023,03-31-24,
BOLT,40, $0.10 ,01-01-2022,,
PHX Solar Power,40, $0.05 ,01-01-2022,,
ONE-League,221, $0.10 ,08-01-2023,,
Ignite Solutions,208, $0.10 ,11-29-23,,
Solar AI,236, $0.05 ,01-17-24,,
Clean Skies,46, $0.08 ,07-01-2022,,
HOMENERDS,46, $0.25 ,07-01-2022,,
Iliakos Solar,46, $0.20 ,07-01-2022,,
Sun Source,46, $0.25 ,07-01-2022,02-18-23,
National Clean Energy,46, $0.25 ,07-01-2022,11-14-22,
Hasnani,46, $0.25 ,07-01-2022,08-23-22,
Off Grid,46, $0.25 ,07-01-2022,,
Pure Clean,46, $0.15 ,07-01-2022,,
Tycho Energy,46, $0.08 ,07-01-2022,,
Uprisun,46, $0.25 ,07-01-2022,,
Hasnani,46, $0.30 ,08-24-22,,
National Clean Energy,46, $0.20 ,11-15-22,,
Sun Source,46, $0.10 ,02-19-23,,
CA Clean Energy,46, $0.25 ,03-01-2023,,
Glass Slappers,46, $0.15 ,03-01-2023,,
Irradiance Energy,46, $0.25 ,03-01-2023,,
Offset Energy,46, $0.20 ,03-01-2023,,
Coreplace,46, $0.35 ,06-01-2023,,
Swift Energy,46, $0.35 ,06-01-2023,,
Power Team,70, $0.05 ,01-01-2022,,
OWE-JG,222, $0.10 ,08-01-2023,,
777HomeService,188, $0.04 ,04-01-2023,,
9 Figures,188, $0.04 ,04-01-2023,,
A Happy Day,188, $0.04 ,04-01-2023,,
A Power Solar,188, $0.04 ,04-01-2023,,
ADVO,188, $0.04 ,04-01-2023,,
AEP Solar,188, $0.04 ,04-01-2023,,
Aerodish Communications,188, $0.04 ,04-01-2023,,
Affordable Energy,188, $0.04 ,04-01-2023,,
Alliance,188, $0.04 ,04-01-2023,,
Alpha Electric,188, $0.04 ,04-01-2023,,
Alpha PWR,188, $0.04 ,04-01-2023,,
Altair Solar Solutions,188, $0.04 ,04-01-2023,,
America Energy,188, $0.04 ,04-01-2023,,
Aptive,188, $0.04 ,04-01-2023,,
ASAP Solar Pros,188, $0.04 ,04-01-2023,,
Atlas Energy,188, $0.04 ,04-01-2023,,
Atlas Home,188, $0.04 ,04-01-2023,,
Avid Mortgage,188, $0.04 ,04-01-2023,,
Avvio,188, $0.04 ,04-01-2023,,
AZ Clean Energy,188, $0.04 ,04-01-2023,,
AZ Energy G,188, $0.04 ,04-01-2023,,
AZ Solar Direct,188, $0.04 ,04-01-2023,,
AZ Solar Pros,188, $0.04 ,04-01-2023,,
BOLT,188, $0.04 ,04-01-2023,,
BPN Enterprises,188, $0.04 ,04-01-2023,,
Bravo Roofing,188, $0.04 ,04-01-2023,,
Brighthaus,188, $0.04 ,04-01-2023,,
Brite Marketing,188, $0.04 ,04-01-2023,,
By the Sun Solar Brokers,188, $0.04 ,04-01-2023,,
CA Clean Energy,188, $0.04 ,04-01-2023,,
CAPITAL,188, $0.04 ,04-01-2023,,
Citi Solar,188, $0.04 ,04-01-2023,,
Clean Earth,188, $0.04 ,04-01-2023,,
Clean Skies,188, $0.04 ,04-01-2023,,
Clear PWR,188, $0.04 ,04-01-2023,,
Clear Vision,188, $0.04 ,04-01-2023,,
Connor Gerkin,188, $0.04 ,04-01-2023,,
Crest Energy,188, $0.04 ,04-01-2023,,
D Lake,188, $0.04 ,04-01-2023,,
Decisive Solar,188, $0.04 ,04-01-2023,,
E&J Solar,188, $0.04 ,04-01-2023,,
ECO Solar,188, $0.04 ,04-01-2023,,
EG Solar,188, $0.04 ,04-01-2023,,
Elate Solar,188, $0.04 ,04-01-2023,,
Electrum Capital,188, $0.04 ,04-01-2023,,
Element Energy,188, $0.04 ,04-01-2023,,
UNTD,188, $0.04 ,04-01-2023,,
Eleven Securities,188, $0.04 ,04-01-2023,,
ELITE SOLAR,188, $0.04 ,04-01-2023,,
EMPYR,188, $0.04 ,04-01-2023,,
Endless Energy Solar,188, $0.04 ,04-01-2023,,
Energy Bros USA,188, $0.04 ,04-01-2023,,
Energy Smart AZ,188, $0.04 ,04-01-2023,,
Erik Lively,188, $0.04 ,04-01-2023,,
Ethical Entrepreneur,188, $0.04 ,04-01-2023,,
Evolution Power,188, $0.04 ,04-01-2023,,
ExoSolar,188, $0.04 ,04-01-2023,,
Extensive Solar,188, $0.04 ,04-01-2023,,
EZ,188, $0.04 ,04-01-2023,,
EZ Alpha,188, $0.04 ,04-01-2023,,
Fortius Energy,188, $0.04 ,04-01-2023,,
Fournet Investments,188, $0.04 ,04-01-2023,,
Fox 4 Home,188, $0.04 ,04-01-2023,,
Fox 4 Home,188, $0.04 ,04-01-2023,,
Freedom Energy,188, $0.04 ,04-01-2023,,
Genesis Power,188, $0.04 ,04-01-2023,,
GJP,188, $0.04 ,04-01-2023,,
Glass Slappers,188, $0.04 ,04-01-2023,,
Global Solar,188, $0.04 ,04-01-2023,,
Good 3nergy,188, $0.04 ,04-01-2023,,
Good Energy,188, $0.04 ,04-01-2023,,
Grand Energy,188, $0.04 ,04-01-2023,,
Green Horizon Solar,188, $0.04 ,04-01-2023,,
Greenest 360,188, $0.04 ,04-01-2023,,
Grid Acquisitions,188, $0.04 ,04-01-2023,,
Halo Solar,188, $0.04 ,04-01-2023,,
Happy Day,188, $0.04 ,04-01-2023,,
Happy Home Solar,188, $0.04 ,04-01-2023,,
Harness Power,188, $0.04 ,04-01-2023,,
Hasnani,188, $0.04 ,04-01-2023,,
HELIOS,188, $0.04 ,04-01-2023,,
Helios Power,188, $0.04 ,04-01-2023,,
Higher Power Energy,188, $0.04 ,04-01-2023,,
Highlight Energy,188, $0.04 ,04-01-2023,,
HOMENERDS,188, $0.04 ,04-01-2023,,
Honest Alarm,188, $0.04 ,04-01-2023,,
House of Power,188, $0.04 ,04-01-2023,,
I Am Solar,188, $0.04 ,04-01-2023,,
Ignite Solutions,188, $0.04 ,04-01-2023,,
Iliakos Solar,188, $0.04 ,04-01-2023,,
Imagine Alpha,188, $0.04 ,04-01-2023,,
Impact Your Energy,188, $0.04 ,04-01-2023,,
Independent Energy,188, $0.04 ,04-01-2023,,
Infinity Solar,188, $0.04 ,04-01-2023,,
Integrated Energy,188, $0.04 ,04-01-2023,,
Internal Ops Sales,188, $0.04 ,04-01-2023,,
iPower Solar,188, $0.04 ,04-01-2023,,
Irradiance Energy,188, $0.04 ,04-01-2023,,
JM Solar,188, $0.04 ,04-01-2023,,
JMG Assets,188, $0.04 ,04-01-2023,,
JORDAN,188, $0.04 ,04-01-2023,,
Juggernaut,188, $0.04 ,04-01-2023,,
Kids HVAC,188, $0.04 ,04-01-2023,,
Kingdom Power,188, $0.04 ,04-01-2023,,
Klever Solar,188, $0.04 ,04-01-2023,,
KODESSA,188, $0.04 ,04-01-2023,,
Kumquat Solar,188, $0.04 ,04-01-2023,,
Lessar Energy,188, $0.04 ,04-01-2023,,
LGND ENERGY,188, $0.04 ,04-01-2023,,
Liberty Solar,188, $0.04 ,04-01-2023,,
Light City,188, $0.04 ,04-01-2023,,
Light Energy,188, $0.04 ,04-01-2023,,
Lit Solar,188, $0.04 ,04-01-2023,,
National Clean Energy,188, $0.04 ,04-01-2023,,
Lobo Solar,188, $0.04 ,04-01-2023,,
Lucid Pro,188, $0.04 ,04-01-2023,,
Lumen Solar,188, $0.04 ,04-01-2023,,
LUMIO,188, $0.04 ,04-01-2023,,
Luxor Energy,188, $0.04 ,04-01-2023,,
M&M Energy,188, $0.04 ,04-01-2023,,
Marla Burns,188, $0.04 ,04-01-2023,,
MARS,188, $0.04 ,04-01-2023,,
Minski Inc,188, $0.04 ,04-01-2023,,
Mr John Solar,188, $0.04 ,04-01-2023,,
MVMT,188, $0.04 ,04-01-2023,,
Native Grid,188, $0.04 ,04-01-2023,,
NAZ R & C,188, $0.04 ,04-01-2023,,
Net Metering Systems,188, $0.04 ,04-01-2023,,
New Age,188, $0.04 ,04-01-2023,,
New Era Roofs & Solar,188, $0.04 ,04-01-2023,,
Next Level Energy,188, $0.04 ,04-01-2023,,
NuSun Power,188, $0.04 ,04-01-2023,,
Off Grid,188, $0.04 ,04-01-2023,,
Offset Energy,188, $0.04 ,04-01-2023,,
Ohana Energy,188, $0.04 ,04-01-2023,,
Omni,188, $0.04 ,04-01-2023,,
Omni 24,188, $0.04 ,04-01-2023,,
On Communications,188, $0.04 ,04-01-2023,,
