DLR-00041,SSS,16000.0,03-10-21,16k for a deal to keep relationship in 2021,0,16000.0,Sun Solar Solutions Inc
DLR-00002,SunLF,1000.00,06-03-21,,0,1000.00,SunLight Forever
DLR-00042,Avvio,3000.00,07-29-21,3k for Dan Evors,0,3000.00,Avvio
DLR-00043,Avvio,11500.00,08-19-21,Battery for Charles Manhart refund,0,11500.00,Avvio
DLR-00004,My A Solar,6300.00,12-23-21,Bonus for Meshake,0,6300.00,My American Solar
DLR-00001,KODESSA,-44000.00,01-01-22,44k of advances to be taken back,0,-44000.00,Kodessa
DLR-00005,EMPYR,250.00,01-18-22,Sighten Design,0,250.00,Empyreal Power
OUR04230,WhyGen,3000.00,01-18-22,Helping WhyGen earn money on the job,0,3000.00,WhyGen LLC
DLR-00007,MARS,-1246.16,02-07-22,Shirts and cards through 1-24-22,0,-1246.16,Mark Anthony Ramirez Solar
DLR-00008,MARS,-16000.00,02-09-22,Loan repay of DLR-00008,0,-16000.00,Mark Anthony Ramirez Solar
DLR-00009,MARS,16000.00,02-09-22,,0,16000.00,Mark Anthony Ramirez Solar
DLR-00010,EMPYR,-570.00,02-22-22,Titan Permitting fees on Tracy Foster,0,-570.00,Empyreal Power
DLR-00011,SOLEIL,2570.00,02-22-22,Refund for Titan Jobs,0,2570.00,Soleil Energy
DLR-00012,Clean Earth,-24999.00,02-24-22,Advance,0,-24999.00,Clean Earth Consultants
DLR-00070,Clean Earth,24999.00,02-24-22,Wire Advance returned wtih DLR-00012,0,24999.00,Clean Earth Consultants
DLR-00071,Clean Earth,25694.73,02-25-22,Double Payment,0,25694.73,Clean Earth Consultants
DLR-00072,Clean Earth,-25694.73,03-01-22,Double Payment Return,0,-25694.73,Clean Earth Consultants
DLR-00013,EZ,-3000.00,03-11-22,Paid on job that is not theirs OUR05039,0,-3000.00,EZ Energy
DLR-00014,WhyGen,2080.00,03-11-22,Paying on a job that canceled as a 1 time excpetion,0,2080.00,WhyGen LLC
DLR-00015,Authentic Energy,5000.00,03-18-22,"Sign on Bonus, not repayable if sales 60 in 90 days ",0,5000.00,Joseph McConell
DLR-00016,Authentic Energy,5000.00,03-18-22,"Sign on Bonus, not repayable if sales 60 in 90 days ",0,5000.00,Joseph McConell
DLR-00017,Authentic Energy,25000.00,03-18-22,"Sign on Bonus, not repayable if sales 60 in 90 days ",0,25000.00,Joseph McConell
OUR04613,SE of AZ,1000.00,03-18-22,Extra money for customer Josh promised,0,1000.00,Solar Experts of AZ
OUR04931,SE of AZ,1000.00,03-18-22,Extra money for customer Josh promised,0,1000.00,Solar Experts of AZ
OUR05228,ELITE SOLAR,3600.00,03-22-22,OWE missed SS - we are paying partial commisions. Lifevalueofcustomer,0,3600.00,Elite Solar Energy
DLR-00045,WhyGen,14881.43,03-25-22,OUR05082 paid on incorrect. account,0,14881.43,WhyGen LLC
DLR-00046,WhyGen,-14881.43,03-25-22,OUR05082 paid on incorrect. account,0,-14881.43,WhyGen LLC
DLR-00022,KODESSA,6400.00,04-01-22,Andrew Mom - OWE covering this | OUR04883,0,6400.00,Kodessa
DLR-00093,My A Solar,3500.00,4/22/2022,"OUR05381 paid under this ID, incorrect sales Partner",0,3500.00,My American Solar
DLR-00021,Authentic Energy,1000.00,04-22-22,Paid for Chris Whitehead Trasnfer,0,1000.00,Joseph McConell
OUR06117,EZ,2700.00,05-01-22,Payment to help with cancel,0,2700.00,EZ Energy
DLR-00024,MARS,5000.00,05-01-22,,0,5000.00,Mark Anthony Ramirez Solar
DLR-00048,EZ,2467.52,05-06-22,"OUR05944 paid to wrong dealer, moving to DLR oTH",0,2467.52,EZ Energy
DLR-00049,EZ,-2467.52,05-06-22,"OUR05944 paid to wrong dealer, moving to DLR oTH",0,-2467.52,EZ Energy
DLR-00025,WhyGen,14000.00,05-16-22,Advance of 14k,0,14000.00,WhyGen LLC
DLR-00026,WhyGen,-14000.00,05-16-22,Repay DLR-00025,0,-14000.00,WhyGen LLC
DLR-00027,Tapales,10000.00,05-20-22,Signing Bonus,0,10000.00,Tapales Enterprises LLC
DLR-00029,PHX Solar Power,4000.00,05-26-22,Payment of draw on two jobs handled by another installer,0,4000.00,Phoenix Solar Power
OUR05966,QUINN,0.0,06-10-22,Moved to DLR - 00053,0,0.0,Quinn Zerba Group
DLR-00032,Vantage Solar,6000.00,06-10-22,4k for Luke 2k for Styles for ES,0,6000.00,Vantage Solar LLC
OUR06354,SE of AZ,-3200.00,06-10-22,This was a shared account between two of our sales partners. They have agreed to the following terms. $3200 to go to Solar Experts of AZRemaining balance is paid to New Age Energy,0,-3200.00,Solar Experts of AZ
DLR-00034,New Age,3200.00,06-10-22,This was a shared account between two of our sales partners. They have agreed to the following terms. $3200 to go to Solar Experts of AZRemaining balance is paid to New Age Energy,0,3200.00,New Age Energy LLC
OUR04138,Avvio,3157.84,06-10-22,LOWFICO paid by GoodLeap,0,3157.84,Avvio
DLR-00036,MARS,7692.31,06-15-22,4 weeks of ops pay,0,7692.31,Mark Anthony Ramirez Solar
DLR-00073,Grid Acquisitions,5000.00,06-17-22,Brenden Tierger,0,5000.00,Grid Acquisitions LLC
DLR-00074,Grid Acquisitions,5000.00,06-17-22,Isaiah Ysco,0,5000.00,Grid Acquisitions LLC
DLR-00037,WhyGen,2000.00,06-29-22,Bonus For missed deal,0,2000.00,WhyGen LLC
DLR-00094,Mr John Solar,2000.00,6/30/2022,"OUR06758 paid under this ID, incorrect sales Partner",0,2000.00,"Mr. John Air Conditioning, Heating & Solar Energy LLC"
DLR-00099,Mr John Solar,-2000.00,6/30/2022,"OUR06758 paid under this ID, incorrect sales Partner, reverse the incorrect payment",-2000.00,0.0,"Mr. John Air Conditioning, Heating & Solar Energy LLC"
DLR-00038,EZ,3925.56,07-01-22,see notes,0,3925.56,EZ Energy
DLR-00039,Mr John Solar,-13398.04,07-01-22,Paid to wrong partner,-13398.04,0.0,"Mr. John Air Conditioning, Heating & Solar Energy LLC"
DLR-00040,Mr John Solar,13398.04,07-01-22,"OUR06474 - Originally paid under this service number, paid in error to My John, instead of Valley Voltage",0,13398.04,"Mr. John Air Conditioning, Heating & Solar Energy LLC"
OUR03591,WhyGen,4960.68,07-01-22,Overpayment but out of timelines to charge back,0,4960.68,WhyGen LLC
DLR-00050,KODESSA,2039.69,07-01-22,"OUR05948paid to wrong dealer, moving to DLR oTH",0,2039.69,Kodessa
DLR-00051,KODESSA,-2039.69,07-01-22,"OUR05948paid to wrong dealer, moving to DLR oTH",0,-2039.69,Kodessa
DLR-00052,QUINN,5500.00,07-01-22,OUR05966 - paid for them loosing deal,0,5500.00,Quinn Zerba Group
DLR-00053,MARS,15000.00,07-02-22,Advance Request,0,15000.00,Mark Anthony Ramirez Solar
DLR-00055,KODESSA,30000.00,07-02-22,Advance Request,0,30000.00,Kodessa
DLR-00083,MARS,15000.00,07-02-22,Advance Request,0,15000.00,Mark Anthony Ramirez Solar
DLR-00095,Mr John Solar,2000.00,7/8/2022,"OUR07036 paid under this ID, incorrect sales Partner",2000.00,0.0,"Mr. John Air Conditioning, Heating & Solar Energy LLC"
DLR-00100,Mr John Solar,-2000.00,7/8/2022,"OUR07036paid under this ID, incorrect sales Partner, reverse the incorrect payment",-2000.00,0.0,"Mr. John Air Conditioning, Heating & Solar Energy LLC"
DLR-00077,Clear Vision,9746.75,07-08-22,Double Payment,0,9746.75,Clear Vision Holdings LLC
DLR-00078,Clear Vision,-8292.25,07-08-22,"Double Payment Return, loweing liablity due ot clerical erro and misinformation to partner",0,-8292.25,Clear Vision Holdings LLC
DLR-00057,Alpha Electric,7677.23,07-12-22,Housing,0,7677.23,Alpha Electric Group
DLR-00054,MARS,-15000.00,07-14-22,Advance Payback,0,-15000.00,Mark Anthony Ramirez Solar
DLR-00056,KODESSA,-30000.00,07-14-22,Advance Payback,0,-30000.00,Kodessa
DLR-00084,MARS,-15000.00,07-14-22,Advance Payback,0,-15000.00,Mark Anthony Ramirez Solar
DLR-00059,WhyGen,2319.36,07-15-22,OUR07040,0,2319.36,WhyGen LLC
DLR-00060,WhyGen,-2319.36,07-15-22,,0,-2319.36,WhyGen LLC
DLR-00061,WhyGen,2387.81,07-15-22,OUR06910,0,2387.81,WhyGen LLC
DLR-00062,WhyGen,2387.81,07-15-22,OUR06910,0,2387.81,WhyGen LLC
DLR-00063,Omni,20000.00,07-20-22,Sign on advance,0,20000.00,Omni
DLR-00064,Omni,0.0,07-20-22,Sign on advance payback,0,0.0,Omni
DLR-00058,Alpha Electric,-7677.23,07-21-22,10c withdrawl,0,-7677.23,Alpha Electric Group
DLR-00065,EZ,1800.00,07-22-22,OUR07604 - bonus to EZ for rep not stealing the deal,0,1800.00,EZ Energy
DLR-00066,EZ,-535.59,07-22-22,Rep fell off scotter and damaged a garage door,0,-535.59,EZ Energy
OUR05328,Avvio,2500.00,07-26-22,Bonus,0,2500.00,Avvio
DLR-00068,Avvio,44236.86,07-28-22,Double Payment,0,44236.86,Avvio
DLR-00069,Avvio,-44236.86,07-28-22,Reverse of Double Wire,0,-44236.86,Avvio
DLR-00075,MARS,6400.00,08-03-22,until 7-31 ops work,0,6400.00,Mark Anthony Ramirez Solar
DLR-00076,Alpha Electric,3977.84,08-03-22,House for August in Camp Verde,0,3977.84,Alpha Electric Group
DLR-00079,Swift Solar,0.0,08-12-22,"Paid to wrong dealer, moved ot SR pay ",0,0.0,Swift Solar
