1.5,11-01-2019,11-30-19
1.5,12-01-2019,12-31-19
1.5,01-01-2020,01-31-20
1.5,02-01-2020,02-29-20
1.5,03-01-2020,03-31-20
1.5,04-01-2020,04-30-20
1.5,05-01-2020,05-31-20
1.5,06-01-2020,06-30-20
1.5,07-01-2020,07-31-20
1.5,08-01-2020,08-31-20
1.5,09-01-2020,09-30-20
1.5,10-01-2020,10-31-20
1.5,11-01-2020,11-30-20
1.5,12-01-2020,12-31-20
1.5,01-01-2021,01-31-21
1.5,02-01-2021,02-28-21
1.5,03-01-2021,03-31-21
1.5,04-01-2021,04-30-21
1.5,05-01-2021,05-31-21
1.5,06-01-2021,06-30-21
1.5,07-01-2021,07-31-21
1.5,08-01-2021,08-31-21
1.5,09-01-2021,09-30-21
1.5,10-01-2021,10-31-21
1.5,11-01-2021,11-30-21
1.5,12-01-2021,12-31-21
1.5,01-01-2022,01-31-22
1.5,02-01-2022,02-28-22
1.5,03-01-2022,03-31-22
1.5,04-01-2022,06-30-22
1.6,07-01-2022,06-30-23
1.65,07-01-2023,
