1,369 Solar,369 Solar,Michael Womack
2,777HomeService,Adrian Bobbitt,
3,A Power Solar,American Power Solar LLC,
4,ADVO,Advosy,Brandon
5,AEP Solar,AEP Solar,
6,Affordable Energy,Affordable Energy Partners,
7,Alliance,Alliance Energy,
8,Alpha Electric,Alpha Electric Group,
9,Alpha PWR,Alpha PWR LLC,
10,Aptive,Aptive Solar LLC,
11,Authentic Energy,Joseph McConell,
12,Avid Mortgage,"Avid Mortgage Solutions, Inc.",
13,Avvio,Avvio,Direct Relationship with Avvio
14,AZ Energy G,AZ Energy Group,AZ Solar brokers - Justin Pitts
15,AZ Solar Direct,AZ Solar Direct LLC,
16,AZ Solar Pros,AZ Solar Pros LLC,
17,BOLT,BOLT,
18,Bravo Roofing,Bravo Roofing LLC,
19,CAPITAL,Capital Energy LLC,
20,Citi Solar,Citi Solar,
21,Citi Solar,Nuera Solar Power DBA Real Solar,
22,Clean Earth,Clean Earth Consultants,
23,Clean Skies,Clean Skies Technologies,
24,Clear Vision,Clear Vision Holdings LLC,
25,COYOTE,COYOTE,
26,Crest Energy,Crest Clean Energy LLC,
27,D Lake,D Lake Consulting LLC,
28,Sunvision,Sunvision LLC,
29,Decisive Solar,Timothy Lee- Decisive Solar Inc.,
30,E&J Solar,E&J Roofing and Solar,
31,Elate Solar,Shaun Schulze,
32,UNTD,Elevate LLC,Code changed from Elevate to UNTD on 5-2-24
33,ELITE SOLAR,Elite Solar Energy,
34,EMPYR,Empyreal Power,Dustin Hesketh Company
35,Energy Bros USA,Energy Bros USA Inc,Matthew Sessna
36,Erik Lively,Erik Lively LLC,
37,Ethical Entrepreneur,Ethical Entrepreneur LLC,
38,Evolution Power,Evolution Power LLC,
39,ExoSolar,ExoSolar Solutions LLC,
40,EZ,EZ Energy,Joe and Nick
41,Fox 4 Home,Fox 4 Home Solutions,
42,Freedom Energy,Freedom Energy LLC,
43,Genesis,Genesis Solar Solutions,
44,GJP,Green Jacket Power,(A Moses Referred Company)
45,Grand Energy,Grand Energy Services,
46,Grid Acquisitions,Grid Acquisitions LLC,
47,Halo Solar,Halo Solar Solutions LLC,
48,Harness Power,Harness Power Inc,
49,Hasnani,Hasnani Capital LLC.,
50,HELIOS,HELIOS,Paul Cruz Company
51,HOMENERDS,HOMENERDS LLC,
52,Honest Alarm,Honest Alarm Company LLC,
53,HOUSE,Our World Energy LLC,Internal Sales Team
54,I Am Solar,I Am Solar,
55,Iliakos Solar,Iliakos Solar,
56,Impact Your Energy,Impact Your Energy LLC,
57,Integrated Energy,Integrated Energy Solutions,
58,Intuition Solar,Zuri Vankevich - Intuition Solar LLC,
59,iPower Solar,iPower Solar,
60,JORDAN,4waysafety,Jordan O'Ferrell
61,Juggernaut,Juggernaut,
62,Klever Solar,Klever Solar LLC,
63,KODESSA,Kodessa,Andrew Weiss
64,Liberty Solar,Liberty Solar,
65,Light Energy,Schaper Cluff Solar LLC dba Light Energy,Light Energy
66,National Clean Energy,National Clean Energy Corp,Former LLP Enterprises
