CREATED-QC,3,3,10-01-19
QC-NTP,3,2,10-01-19
QC-SS,3,2,10-01-19
NTP-SS,3,0,10-01-19
NTP-PERMIT,3,2,10-01-19
NTP-INSTALL,3,22,10-01-19
NTP-FIN,3,60,10-01-19
NTP-PTO,3,90,10-01-19
SS-PERMIT,3,2,10-01-19
PERMIT-INSTALL,3,21,10-01-19
INSTALL-FIN,3,30,10-01-19
FIN-PTO,3,15,10-01-19
CREATED-QC,32,3,10-01-19
QC-NTP,32,2,10-01-19
QC-SS,32,2,10-01-19
NTP-SS,32,0,10-01-19
NTP-PERMIT,32,2,10-01-19
NTP-INSTALL,32,22,10-01-19
NTP-FIN,32,60,10-01-19
NTP-PTO,32,90,10-01-19
SS-PERMIT,32,2,10-01-19
PERMIT-INSTALL,32,60,10-01-19
INSTALL-FIN,32,30,10-01-19
FIN-PTO,32,15,10-01-19
